V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
-9.779853275,-5.004953381,2.815781321,7.200700603,7.444010228,5.203392826,2.248161656,-0.425939948,-2.67827959,-4.808605674,-7.02814108,-9.265853715,-11.27392786,-12.7304049,-13.27781859,-12.60071814,-10.46923171,-6.61813547,-1.010990727,4.23689757
-9.100572999,-4.828610759,-0.792553738,0.608127057,0.175664301,-0.862679405,-1.726160206,-2.242485925,-2.724883768,-3.606656877,-5.032132961,-6.70178655,-8.030757265,-8.476334053,-7.877756057,-6.670523535,-5.731542543,-5.698878642,-6.180243109,-5.869861591
-2.919675689,-5.70436221,-8.420989182,-10.10315824,-10.54761321,-9.796754657,-8.024916305,-5.55024136,-2.87051257,-0.528545187,1.092190692,1.95027097,2.374352697,2.754143419,3.006867579,2.223887708,-0.939965298,-6.771429414,-12.08134713,-9.953608143
3.114621558,4.446560306,1.8554066,-1.129261957,-3.264100426,-4.639334662,-5.491749816,-5.899784957,-5.839781592,-5.244809289,-4.060346267,-2.344976084,-0.355261342,1.440666786,2.357731666,1.609203153,-1.178375392,-5.267590693,-8.260356819,-6.520332877
4.140741677,8.871662846,8.064261989,4.646488553,1.364474159,-0.895844569,-2.191451657,-2.781231222,-2.885725779,-2.611599714,-1.982059279,-1.07587454,-0.13756756,0.476077931,0.47221459,-0.220051349,-1.402940622,-2.80814532,-4.196673816,-4.181622577
9.811158301,4.971069552,-0.873367485,-5.084276187,-7.110827383,-7.0153921,-5.065439712,-1.696553924,2.329468333,6.035006035,8.544691242,9.404677498,8.732535313,7.08803911,5.181999457,3.567471016,2.351733881,1.234206605,0.69866726,3.453728775
12.60606406,9.519160774,6.152097098,4.174781648,2.968560439,2.322197867,2.488464473,3.708136146,5.846933901,8.405882216,10.75463654,12.33754481,12.76685663,11.8557959,9.647214002,6.45159496,2.901275783,0.064973325,-0.062249274,4.637824997
-0.99624588,4.157091961,8.085419608,9.216764284,8.559460665,7.396918865,6.568991109,6.455458235,7.09392993,8.339736668,10.01930971,11.91169422,13.62067,14.53461457,13.96306166,11.50587652,7.543292078,3.35985644,0.631484894,0.045791615
-3.112287152,-4.379191329,-5.214379515,-5.336569237,-4.553256394,-2.978283871,-0.762685926,1.940259364,4.859237929,7.603586629,9.808369931,11.29851732,12.12559483,12.45770412,12.46778903,12.33979809,12.31844007,12.40132998,11.31069699,6.629280732
-7.874028219,-11.59941511,-13.6485997,-12.99444171,-10.39830396,-7.223389041,-4.312978489,-1.973693312,-0.302581979,0.642312557,0.880810728,0.639188752,0.346475778,0.470690819,1.371879533,3.204003421,5.769692178,8.264261347,8.692147009,4.510273899
-15.43745407,-10.72740877,-5.704036893,-3.244737588,-2.159837541,-1.740904377,-1.865411188,-2.592251755,-3.856907707,-5.40306518,-6.872939995,-7.925751005,-8.328264022,-8.002082453,-7.005400087,-5.444704487,-3.361728246,-0.805411228,1.320626373,0.342934608
-5.641999622,-6.676346753,-4.877657238,-2.974176882,-1.739714293,-1.296642018,-1.641870763,-2.652062475,-3.930437621,-4.919111809,-5.24856293,-4.979224701,-4.488938944,-4.145041001,-4.10184419,-4.265982067,-4.271702361,-3.414070003,-0.734104519,3.193387528
2.571602459,-1.76885072,-3.937499991,-2.24184801,1.540271247,5.426344434,8.106620447,8.947249303,8.035774987,6.029553368,3.71062833,1.589628305,-0.178007183,-1.620208607,-2.786436004,-3.696035185,-4.290902265,-4.113126024,-1.560585554,4.175855918
