V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
-1.40865711,0.004492784,2.012053682,3.223511451,3.311099222,2.515032775,1.283184914,0.022858228,-0.986041953,-1.615333531,-1.909361056,-2.099518411,-2.538212692,-3.460561978,-4.694491293,-5.570224454,-5.089890619,-2.44104294,1.855710594,4.689872918
1.195241014,1.091129475,0.40544099,-0.253137582,-0.657087682,-0.691278938,-0.351398966,0.200909249,0.694336681,0.882544515,0.688267876,0.276894968,-0.018549347,0.110046516,0.758180545,1.748053654,2.692271677,3.070115302,2.217477428,-0.479456651
-0.995415563,-2.581332748,-3.631846767,-3.775938152,-3.130755232,-2.02351575,-0.81375373,0.277819474,1.189248089,1.95555059,2.600271486,3.094786659,3.420113442,3.569963031,3.459955285,2.825555712,1.256579549,-1.311143937,-3.460400111,-2.210517604
0.75942569,1.789278473,1.728667341,1.079813649,0.027901912,-1.204488598,-2.279299823,-2.933372481,-3.080359227,-2.796112528,-2.229107116,-1.537623201,-0.881530408,-0.386508226,-0.103863564,0.053050822,0.438021693,1.542963254,3.103615408,3.023648007
0.730754872,4.029201288,5.310540857,5.110720333,4.403121217,3.448139767,2.143111156,0.466203639,-1.360652654,-2.954410456,-3.984420185,-4.382849614,-4.387262837,-4.346811318,-4.405562632,-4.33166343,-3.716728061,-2.54159861,-1.826971798,-2.78767361
-0.744093225,-1.92500505,-3.025320589,-3.719696757,-3.831412459,-3.394097633,-2.556210001,-1.522259526,-0.564278896,0.014730069,-0.015692722,-0.687502729,-1.748013453,-2.716665758,-3.060530936,-2.383368705,-0.643815736,1.680688267,3.636470834,3.99040945
6.504366305,4.973330436,3.293448817,2.750063714,2.650953762,2.411172261,1.953665838,1.51056538,1.363366746,1.634659278,2.206414122,2.780557155,3.01080749,2.672794322,1.810766551,0.745260027,-0.042380382,-0.101375307,0.685758584,1.736668465
-3.356533382,-1.577549972,1.125790589,2.975373961,3.872825804,4.108690043,3.819491467,3.086038702,2.09489362,1.161750131,0.642786299,0.766779672,1.501642632,2.504667522,3.146176463,2.695720719,0.686088834,-2.609055977,-5.586053401,-5.87714657
3.283771987,3.288459373,1.568512647,0.014333489,-0.661749063,-0.479816485,0.276736897,1.239791213,2.063669903,2.499984359,2.432015152,1.889368504,1.035234974,0.133642552,-0.483876538,-0.469093085,0.496081166,2.445863086,4.315581651,3.893621919
3.574918068,-1.176098732,-4.701600584,-5.556276349,-4.94037597,-3.873711421,-2.780642696,-1.768093605,-0.916515482,-0.358983417,-0.189574699,-0.325128938,-0.50417496,-0.428774142,0.068801184,0.848718386,1.319630529,0.683839219,-1.070767566,-2.091095745
-3.138996692,1.38244164,4.083382775,4.365903613,3.429663062,2.089550613,0.715961359,-0.595236526,-1.862750208,-3.084822159,-4.171065528,-4.966963721,-5.309960414,-5.100286724,-4.363122149,-3.2389762,-1.921350062,-0.681544202,-0.126964105,-1.047500408
0.230112669,-0.651034606,0.079943245,0.59684637,0.357098804,-0.328865531,-1.058257203,-1.519235604,-1.508043196,-0.982573536,-0.10033682,0.803126567,1.329374003,1.215049605,0.475497161,-0.586133477,-1.471672401,-1.702450061,-1.115076499,0.025420469
3.645364183,3.000698701,0.755498398,-0.693580595,-1.307615027,-1.654668597,-2.050616623,-2.444529671,-2.568832285,-2.154346894,-1.130379823,0.325326021,1.906836777,3.320350967,4.325101316,4.718992423,4.331175201,3.175821824,2.07844883,2.59047257
-0.51729572,0.103789277,1.510999189,3.082995144,4.76701378,6.478759812,8.003501397,9.025694756,9.195332176,8.291199785,6.399127474,3.921906664,1.392670821,-0.769436694,-2.399164331,-3.583867326,-4.467782957,-4.96460784,-4.911090754,-4.541564574
-1.583213994,-3.257042899,-1.890069682,0.156113774,1.312003362,1.462754942,1.089573709,0.610646572,0.133879452,-0.450652419,-1.209824402,-1.95538567,-2.289491517,-1.870945313,-0.677823722,0.875494725,2.020543008,1.964985293,0.539521802,-1.105213331
3.974128353,3.391548335,1.059635146,-0.835656521,-1.966771266,-2.719701669,-3.377543159,-3.880635619,-3.958463362,-3.423458479,-2.377986675,-1.219053037,-0.440121578,-0.337883179,-0.806818089,-1.331990872,-1.167579389,0.350202643,3.152781429,5.194248924
-3.18763045,0.181061926,2.097217855,2.96077463,3.598936957,4.164946813,4.44684934,4.254686328,3.602341857,2.723893146,1.948310979,1.468571921,1.234593427,1.057487102,0.815020178,0.692331737,1.247416198,2.893203249,4.653491042,3.580255622
1.351457321,-1.395729163,-2.993299084,-3.204203831,-2.971501918,-2.854909442,-2.911078785,-2.957139265,-2.831137131,-2.547568596,-2.242632385,-1.966706351,-1.621393954,-1.093403924,-0.43341263,-0.022135173,-0.588890255,-2.720141606,-5.538517652,-5.699660978
1.399486521,2.205945449,2.598794358,2.936266166,3.458868532,4.100709444,4.608709087,4.678092883,4.149211674,3.172447719,2.175548136,1.580767962,1.532770159,1.842356753,2.099282965,1.88588467,0.990909585,-0.60136821,-2.857944826,-4.882862364
-3.238366577,-2.863332316,-1.585820745,-0.504774764,0.208838471,0.667231348,0.931384596,1.086906903,1.227916257,1.36099797,1.400735902,1.291192099,1.117874257,1.092112565,1.408829372,2.069434754,2.82967836,3.357198125,3.563243063,3.516000072
2.779494484,3.43663031,3.533714563,2.831629217,1.518815509,0.107874858,-0.865845866,-1.174539721,-0.968432913,-0.616574704,-0.465247177,-0.640502281,-1.003237398,-1.255243994,-1.083268492,-0.283529654,1.108835571,2.710115311,3.545709056,2.112423358
2.25155918,-1.892106112,-3.729645975,-3.265874828,-1.982462586,-0.872961986,-0.486474372,-0.97298843,-2.090256797,-3.318097409,-4.113293567,-4.219092074,-3.796496981,-3.252188976,-2.899161983,-2.680948819,-2.157711309,-0.932509821,0.585092246,1.038201645
-3.661806019,0.687659393,3.664142252,4.327131523,3.94318176,3.257143066,2.567510764,2.01443197,1.677104386,1.595895782,1.79555825,2.273995418,2.938008497,3.519433973,3.507161697,2.287115309,-0.360949853,-3.599632109,-5.173531595,-3.070162222
-0.173899515,0.883274367,0.048896391,-1.084582594,-1.68270157,-1.567449507,-0.918979334,-0.008269283,0.960216683,1.841246435,2.508781353,2.881100491,2.935151111,2.676753587,2.17600457,1.592507559,1.042815135,0.46138168,-0.261406037,-0.616046686
0.542252813,-0.160183534,-1.124384133,-0.592063684,0.844754311,2.14476055,2.765612692,2.670332544,2.025343798,1.003627219,-0.263879883,-1.672410818,-3.049197722,-4.061795016,-4.287393444,-3.409513241,-1.475271912,0.722650862,1.282959387,-1.405692571
2.996665929,0.456892836,-0.312124093,-0.394812932,-0.512275414,-0.626576137,-0.528618908,-0.115239188,0.616193306,1.585966947,2.646143481,3.637696487,4.404093366,4.7868088,4.705128457,4.208302413,3.367742727,2.132701665,0.389534751,-1.4794731
-0.653346053,-0.863051413,-0.564370684,-0.306626601,-0.309378992,-0.498735613,-0.78189013,-1.086468363,-1.369282452,-1.616170932,-1.843077271,-2.091898584,-2.376519298,-2.648971505,-2.872703034,-3.069159888,-3.106181969,-2.306599491,0.471513264,4.772476751
-0.726635118,3.31532013,4.028599356,2.800735532,1.458871318,0.631249958,0.217002253,-0.074870988,-0.442300126,-0.904580877,-1.304885681,-1.404498564,-1.043089589,-0.236199862,0.83834506,1.864185903,2.307360816,1.2650056,-2.21900635,-6.943898597
0.49184157,-1.141315931,-1.031211497,0.061608503,1.291329566,2.417077875,3.4167738,4.224546185,4.71121129,4.74622522,4.27087365,3.352871982,2.141382731,0.77409938,-0.66080011,-2.097695603,-3.33478619,-3.753618339,-2.437894694,0.407290666
-1.446401458,-1.998222923,-2.581417315,-2.489741095,-1.946987814,-1.429273431,-1.268369319,-1.587018377,-2.289304363,-3.137784149,-3.877108762,-4.315353161,-4.309687489,-3.741266474,-2.52884007,-0.620421766,1.941753308,4.749764074,6.721639811,6.203485741
-3.281092156,-2.852377126,-1.564303045,-1.008973956,-0.896304146,-0.933969304,-1.005891018,-0.995338085,-0.784158311,-0.319014998,0.355370462,1.083210366,1.624469853,1.810226023,1.68985592,1.436025664,1.085366449,0.459877295,-0.502515514,-0.959148723
2.332151897,3.940375937,2.336765063,0.201078937,-1.315861712,-2.07415269,-2.33949544,-2.448365921,-2.620299386,-2.867588999,-3.063508056,-3.049473319,-2.670013312,-1.850988388,-0.70466698,0.503274322,1.459786534,1.78412081,1.014261452,-0.763070127
1.163156834,2.436107787,3.31199331,3.09122623,2.150388496,1.17118805,0.719613303,1.043666522,2.040261923,3.343428956,4.532725992,5.32322803,5.596398602,5.324798513,4.482864977,3.038852779,1.151923056,-0.420391477,-0.147615318,2.207893754
0.090116404,-3.213290604,-3.892714345,-3.036657374,-1.924944085,-1.181729286,-1.0768992,-1.622921752,-2.545155258,-3.342811746,-3.530968804,-2.938060547,-1.799000954,-0.599166866,0.197482989,0.387496735,0.075154184,-0.603619011,-1.895559869,-3.589010683
-4.74204682,-4.162448796,-2.500226199,-1.576596538,-1.382387415,-1.491550528,-1.503922069,-1.240979567,-0.777466171,-0.330028354,-0.080014794,-0.026545505,0.026250126,0.365329257,1.183964076,2.407232422,3.630213576,4.192815748,3.64950989,2.683037774
4.233837589,2.588645802,0.091283499,-1.268041664,-1.363501275,-0.595820725,0.44668274,1.250044455,1.575082881,1.487838667,1.219037574,0.946514317,0.645022299,0.118789226,-0.744777156,-1.731821713,-2.354600502,-2.133963639,-1.04019585,-0.067048622
-0.575753143,3.285097098,4.619837505,4.551786684,3.93245607,2.899539952,1.636135237,0.453536351,-0.41225349,-0.918984723,-1.205079497,-1.470282483,-1.805796074,-2.109696969,-2.201622485,-2.004871034,-1.58213157,-1.051271645,-0.522054788,-0.293090012
3.761417593,-0.41303384,-3.863385521,-6.141369953,-7.538327809,-8.050570049,-7.733842793,-6.751870556,-5.322511287,-3.707467995,-2.174913934,-0.881182139,0.204529146,1.211415018,2.199617108,3.052066595,3.455483078,2.953762676,1.062677156,-2.006181617
