V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.93029228,3.831623286,-1.413732587,-11.07414902,-14.00047346,44.75070306,45.21491672,-8.584319978,-20.17159268,-10.15602482
-7.653488458,0.93029228,-34.84231931,-1.413732587,-11.07414902,-14.00047346,44.75070306,45.21491672,-8.584319978,-20.17159268
-6.608879674,-7.653488458,-14.60589944,-34.84231931,-1.413732587,-11.07414902,-14.00047346,44.75070306,45.21491672,-8.584319978
0.891593118,-6.608879674,13.06954767,-14.60589944,-34.84231931,-1.413732587,-11.07414902,-14.00047346,44.75070306,45.21491672
2.390482194,0.891593118,-20.17669527,13.06954767,-14.60589944,-34.84231931,-1.413732587,-11.07414902,-14.00047346,44.75070306
1.877645236,2.390482194,-22.9560926,-20.17669527,13.06954767,-14.60589944,-34.84231931,-1.413732587,-11.07414902,-14.00047346
2.87252421,1.877645236,7.70425399,-22.9560926,-20.17669527,13.06954767,-14.60589944,-34.84231931,-1.413732587,-11.07414902
2.962199725,2.87252421,9.091870563,7.70425399,-22.9560926,-20.17669527,13.06954767,-14.60589944,-34.84231931,-1.413732587
9.81713308,2.962199725,6.818933309,9.091870563,7.70425399,-22.9560926,-20.17669527,13.06954767,-14.60589944,-34.84231931
1.72698483,9.81713308,2.594868115,6.818933309,9.091870563,7.70425399,-22.9560926,-20.17669527,13.06954767,-14.60589944
-8.549663139,1.72698483,-4.423458126,2.594868115,6.818933309,9.091870563,7.70425399,-22.9560926,-20.17669527,13.06954767
1.695827791,-8.549663139,8.409663871,-4.423458126,2.594868115,6.818933309,9.091870563,7.70425399,-22.9560926,-20.17669527
-4.014860635,1.695827791,7.720944378,8.409663871,-4.423458126,2.594868115,6.818933309,9.091870563,7.70425399,-22.9560926
1.368996447,-4.014860635,-6.052728398,7.720944378,8.409663871,-4.423458126,2.594868115,6.818933309,9.091870563,7.70425399
-1.19726852,1.368996447,4.301055946,-6.052728398,7.720944378,8.409663871,-4.423458126,2.594868115,6.818933309,9.091870563
