V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482,-5.622765302,-10.73557894,-5.575217204,-2.633003718,-1.486210494
-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482,-5.622765302,-10.73557894,-5.575217204,-2.633003718
-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482,-5.622765302,-10.73557894,-5.575217204
3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482,-5.622765302,-10.73557894
1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482,-5.622765302
4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273,-7.696966482
-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919,-2.479787273
-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161,-4.076230919
-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261,-3.984714161
-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846,-4.314413261
1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349,-2.939562846
3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057,-2.843255349
1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963,3.242970057
-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423,1.586696963
-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733,4.189913423
-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846,-0.662159733
-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816,-3.807677846
-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522,-4.255755816
-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809,-0.768353522
2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706,1.924164809
0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876,3.170410706
0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834,1.638737876
-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962,-1.896003834
2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031,-4.641885962
4.179682953,2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748,-4.387722031
0.746726146,4.179682953,2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028,-5.696832748
8.622455919,0.746726146,4.179682953,2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851,-2.12615028
-1.971101445,8.622455919,0.746726146,4.179682953,2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791,-1.652209851
4.544920203,-1.971101445,8.622455919,0.746726146,4.179682953,2.58243277,-1.450792479,0.512189029,0.665930288,2.624171791
